;id;data_set;data_set_label;indicator;period_type;period_from;period_to;country_key;country_label;bz_key;bz_short;bz_long;operator_key;operator_label;tso_eic_code;direction_key;adjacent_systems_key;adjacent_systems_label;year;month;day;unit;value;count_point_presents;flow_status;points_names;last_update_date_time;adjacent_bz_key;url
20;1AggregatesDEDE-NCG-----DE-TSO-0010exitFinal Consumers2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;exit;Final Consumers;Final Consumers;2021;1;1;kWh/d;32852766.0;1;Provisionnal;Final Consumers aggregated;2021-01-02T07:57:11+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
21;1AggregatesDEDE-NCG-----DE-TSO-0010exitStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;exit;Storage;Storage;2021;1;1;kWh/d;0.0;5;Provisionnal;Haidach (AT) / Haidach USP (DE)|Haiming 2 7F/bn|Haiming 2-RAGES/bn|Inzenham UGS|Wolfersberg UGS;2021-01-02T07:57:09+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
22;1AggregatesDEDE-NCG-----DE-TSO-0010exitStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;exit;Storage;Storage;2021;1;1;kWh/d;0.0;5;Provisionnal;Haidach (AT) / Haidach USP (DE)|Haiming 2 7F/bn|Haiming 2-RAGES/bn|Inzenham UGS|Wolfersberg UGS;2021-01-02T07:57:11+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
23;1AggregatesDEDE-NCG-----DE-TSO-0010exitTransmissionAT---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;exit;TransmissionAT---------;Austria;2021;1;1;kWh/d;18913836.0;4;Provisionnal;RC Lindau|Überackern ABG (AT) / Überackern (DE)|Überackern SUDAL (AT) / Überackern 2 (DE)|VIP Kiefersfelden-Pfronten;2021-01-02T07:57:09+01:00;AT---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
24;1AggregatesDEDE-NCG-----DE-TSO-0010exitTransmissionAT---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;exit;TransmissionAT---------;Austria;2021;1;1;kWh/d;31517425.0;4;Provisionnal;RC Lindau|Überackern ABG (AT) / Überackern (DE)|Überackern SUDAL (AT) / Überackern 2 (DE)|VIP Kiefersfelden-Pfronten;2021-01-02T07:57:11+01:00;AT---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
25;1AggregatesDEDE-NCG-----DE-TSO-0014entryStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Allocation;1;Aggregates;Allocation;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;entry;Storage;Storage;2021;1;1;kWh/d;0.0;1;Provisionnal;UGS Fronhofen;2021-02-17T20:34:08+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
26;1AggregatesDEDE-NCG-----DE-TSO-0014entryStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;entry;Storage;Storage;2021;1;1;kWh/d;0.0;1;Provisionnal;UGS Fronhofen;2021-01-02T08:56:46+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
27;1AggregatesDEDE-NCG-----DE-TSO-0014entryStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;entry;Storage;Storage;2021;1;1;kWh/d;0.0;1;Provisionnal;UGS Fronhofen;2021-02-17T20:34:09+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
28;1AggregatesDEDE-NCG-----DE-TSO-0014entryTransmissionDE-GASPOOL-2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Allocation;1;Aggregates;Allocation;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;entry;TransmissionDE-GASPOOL-;GASPOOL;2021;1;1;kWh/d;0.0;1;Provisionnal;Lampertheim IV;2021-02-17T20:34:08+01:00;DE-GASPOOL-;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
29;1AggregatesDEDE-NCG-----DE-TSO-0014entryTransmissionDE-GASPOOL-2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;entry;TransmissionDE-GASPOOL-;GASPOOL;2021;1;1;kWh/d;0.0;1;Provisionnal;Lampertheim IV;2021-01-02T08:56:46+01:00;DE-GASPOOL-;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
30;1AggregatesDEDE-NCG-----DE-TSO-0014entryTransmissionDE-GASPOOL-2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;entry;TransmissionDE-GASPOOL-;GASPOOL;2021;1;1;kWh/d;0.0;1;Provisionnal;Lampertheim IV;2021-02-17T20:34:09+01:00;DE-GASPOOL-;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
31;1AggregatesDEDE-NCG-----DE-TSO-0014exitFinal Consumers2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;exit;Final Consumers;Final Consumers;2021;1;1;kWh/d;4509388.0;1;Provisionnal;Final Consumers Aggregated (exit) (DE);2021-03-24T19:34:27+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
32;1AggregatesDEDE-NCG-----DE-TSO-0014exitStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Allocation;1;Aggregates;Allocation;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;exit;Storage;Storage;2021;1;1;kWh/d;0.0;1;Provisionnal;UGS Fronhofen;2021-02-17T20:34:08+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
33;1AggregatesDEDE-NCG-----DE-TSO-0014exitStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;exit;Storage;Storage;2021;1;1;kWh/d;0.0;1;Provisionnal;UGS Fronhofen;2021-01-02T08:56:46+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
34;1AggregatesDEDE-NCG-----DE-TSO-0014exitStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;exit;Storage;Storage;2021;1;1;kWh/d;0.0;1;Provisionnal;UGS Fronhofen;2021-02-17T20:34:09+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
35;1AggregatesDEDE-NCG-----DE-TSO-0014exitTransmissionAT---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Allocation;1;Aggregates;Allocation;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;exit;TransmissionAT---------;Austria;2021;1;1;kWh/d;12456987.0;1;Provisionnal;RC Lindau;2021-02-17T20:34:08+01:00;AT---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
36;1AggregatesDEDE-NCG-----DE-TSO-0014exitTransmissionAT---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;exit;TransmissionAT---------;Austria;2021;1;1;kWh/d;12456987.0;1;Provisionnal;RC Lindau;2021-01-02T08:56:46+01:00;AT---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
37;1AggregatesDEDE-NCG-----DE-TSO-0014exitTransmissionAT---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0014;terranets bw GmbH;21X000000001163D;exit;TransmissionAT---------;Austria;2021;1;1;kWh/d;12461379.0;1;Provisionnal;RC Lindau;2021-02-17T20:34:09+01:00;AT---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
