,DE_LU_WINDONSHORE,FR_WINDONSHORE,IT_NORD_WINDONSHORE,ES_WINDONSHORE
2019-10-08,1742896.0,118871.0,74.0,67834.0
2019-10-09,1795371.0,168596.0,720.0,77743.0
2019-10-10,2176544.0,119497.0,101.0,87797.0
2019-10-11,2830336.0,138429.0,85.0,121453.0
2019-10-12,1748252.0,125237.0,102.0,205764.0
2019-10-13,1554584.0,157182.0,28.0,187610.0
2019-10-14,954172.0,126728.0,53.0,262315.0
2019-10-15,606389.0,96570.0,740.0,192847.0
2019-10-16,1495195.0,173154.0,326.0,145904.0
2019-10-17,1033859.0,104698.0,156.0,133817.0
2019-10-18,1725842.0,164536.0,437.0,121845.0
2019-10-19,1316006.0,69771.0,805.0,147493.0
2019-10-20,460488.0,78148.0,508.0,115914.0
2019-10-21,554049.0,65248.0,202.0,21453.0
2019-10-22,430950.0,47055.0,100.0,138148.0
2019-10-23,586033.0,68876.0,114.0,136865.0
2019-10-24,879407.0,107027.0,103.0,166605.0
2019-10-25,1657039.0,116423.0,225.0,107843.0
2019-10-26,2426501.0,157166.0,104.0,96359.0
2019-10-27,1872830.0,62198.0,36.0,52767.0
2019-10-28,814646.0,59982.0,33.0,63224.0
2019-10-29,464729.0,75057.0,69.0,69821.0
2019-10-30,477904.0,52840.0,24.0,96059.0
2019-10-31,621953.0,63178.0,234.0,152253.0
2019-11-01,1373227.0,142228.0,285.0,267350.0
2019-11-02,1940441.0,219400.0,449.0,312717.0
2019-11-03,928750.0,166591.0,723.0,343367.0
2019-11-04,903871.0,181514.0,791.0,343445.0
2019-11-05,627329.0,78920.0,727.0,324916.0
2019-11-06,374993.0,61628.0,400.0,209877.0
2019-11-07,920147.0,139564.0,353.0,246034.0
2019-11-08,394227.0,50114.0,286.0,300963.0
2019-11-09,515915.0,72341.0,153.0,252304.0
2019-11-10,345245.0,69703.0,246.0,280087.0
2019-11-11,1275477.0,133267.0,429.0,211036.0
2019-11-12,1570384.0,132773.0,609.0,223470.0
2019-11-13,1043710.0,93532.0,80.0,245729.0
2019-11-14,1182700.0,77711.0,201.0,278370.0
2019-11-15,1429499.0,65208.0,365.0,206667.0
2019-11-16,1001040.0,54484.0,590.0,153858.0
2019-11-17,980554.0,33292.0,670.0,208214.0
2019-11-18,1141275.0,62588.0,478.0,173085.0
2019-11-19,1147071.0,41944.0,251.0,92575.0
2019-11-20,113685.0,88645.0,135.0,104435.0
2019-11-21,334962.0,97221.0,145.0,132396.0
2019-11-22,860529.0,182563.0,117.0,309906.0
2019-11-23,1918702.0,113054.0,564.0,333107.0
2019-11-24,754058.0,56067.0,590.0,247767.0
2019-11-25,181645.0,83919.0,583.0,242245.0
2019-11-26,709046.0,140833.0,519.0,268280.0
2019-11-27,1849049.0,246652.0,783.0,304655.0
2019-11-28,3000653.0,189901.0,718.0,248519.0
2019-11-29,1944581.0,55383.0,407.0,114524.0
2019-11-30,605035.0,95243.0,79.0,190256.0
2019-12-01,409737.0,90104.0,346.0,115730.0
2019-12-02,991327.0,81553.0,232.0,246553.0
2019-12-03,735647.0,60323.0,700.0,155801.0
2019-12-04,736710.0,44520.0,796.0,132205.0
2019-12-05,1228895.0,32407.0,414.0,154114.0
2019-12-06,2995628.0,166594.0,81.0,44632.0
2019-12-07,2801904.0,93880.0,383.0,34241.0
2019-12-08,3187462.0,244859.0,418.0,119124.0
2019-12-09,2464246.0,255410.0,312.0,196842.0
