,DE_LU_HYDRORIVER,FR_HYDRORIVER,IT_NORD_HYDRORIVER,ES_HYDRORIVER
2019-08-14,196479.0,81448.0,86580.0,15997.0
2019-08-15,188610.0,71113.0,78230.0,13900.0
2019-08-16,185392.0,77846.0,83227.0,15119.0
2019-08-17,181986.0,69818.0,77733.0,13477.0
2019-08-18,174549.0,67059.0,77362.0,13440.0
2019-08-19,176790.0,80375.0,92305.0,16314.0
2019-08-20,191521.0,98809.0,93456.0,16990.0
2019-08-21,193388.0,100729.0,96571.0,16388.0
2019-08-22,201766.0,99245.0,97382.0,15479.0
2019-08-23,198969.0,94832.0,96177.0,14985.0
2019-08-24,190960.0,88197.0,83370.0,14092.0
2019-08-25,183744.0,84789.0,80757.0,13572.0
2019-08-26,181767.0,86058.0,100833.0,15648.0
2019-08-27,183289.0,83193.0,99848.0,15329.0
2019-08-28,177210.0,82288.0,95616.0,15676.0
2019-08-29,176937.0,83004.0,93188.0,15814.0
2019-08-30,175048.0,83342.0,94380.0,16615.0
2019-08-31,168728.0,78803.0,82219.0,13738.0
2019-09-01,160747.0,75589.0,80852.0,13288.0
2019-09-02,178592.0,73720.0,93150.0,13834.0
2019-09-03,184493.0,67258.0,79907.0,15322.0
2019-09-04,172529.0,66077.0,75277.0,14953.0
2019-09-05,166377.0,64295.0,80208.0,13131.0
2019-09-06,172670.0,61581.0,86645.0,12880.0
2019-09-07,173401.0,55287.0,73996.0,11696.0
2019-09-08,180343.0,54804.0,74683.0,11599.0
2019-09-09,190746.0,66882.0,83382.0,12627.0
2019-09-10,184004.0,67032.0,81464.0,12196.0
2019-09-11,175539.0,62604.0,74457.0,13362.0
2019-09-12,169547.0,61477.0,73448.0,12545.0
2019-09-13,165839.0,59899.0,70637.0,12265.0
2019-09-14,159492.0,54968.0,67088.0,11185.0
2019-09-15,148194.0,53681.0,65360.0,11493.0
2019-09-16,150596.0,61222.0,82923.0,12299.0
2019-09-17,151864.0,56292.0,74891.0,12603.0
2019-09-18,139593.0,52706.0,85546.0,13169.0
2019-09-19,136093.0,51775.0,79485.0,13400.0
2019-09-20,131622.0,49893.0,72025.0,12835.0
2019-09-21,122470.0,45650.0,54966.0,12909.0
2019-09-22,114950.0,46400.0,52978.0,12660.0
2019-09-23,113632.0,62373.0,75937.0,14081.0
2019-09-24,139174.0,55379.0,71986.0,13198.0
2019-09-25,135856.0,58112.0,68542.0,13533.0
2019-09-26,132816.0,58892.0,67910.0,14317.0
2019-09-27,128522.0,57599.0,72804.0,13712.0
2019-09-28,127927.0,51202.0,53852.0,11261.0
2019-09-29,120188.0,46159.0,42476.0,10757.0
2019-09-30,114131.0,57011.0,63556.0,11834.0
2019-10-01,117370.0,56069.0,65131.0,12225.0
2019-10-02,129327.0,60597.0,67999.0,10837.0
2019-10-03,148071.0,64039.0,57994.0,11170.0
2019-10-04,137930.0,58599.0,67370.0,11669.0
2019-10-05,149862.0,55519.0,39064.0,9670.0
2019-10-06,161267.0,51796.0,33485.0,9711.0
2019-10-07,167914.0,69877.0,51527.0,10743.0
2019-10-08,158667.0,68469.0,54920.0,10203.0
2019-10-09,164336.0,71247.0,48827.0,10301.0
2019-10-10,171559.0,77306.0,46087.0,10913.0
2019-10-11,166814.0,69921.0,51241.0,10129.0
2019-10-12,153248.0,61968.0,34323.0,8984.0
2019-10-13,145001.0,58788.0,32878.0,8987.0
2019-10-14,140949.0,65727.0,46920.0,11619.0
2019-10-15,141741.0,82359.0,60530.0,13621.0
2019-10-16,148546.0,87275.0,66814.0,14498.0
2019-10-17,143464.0,85320.0,58717.0,16583.0
2019-10-18,139350.0,84833.0,63787.0,16687.0
2019-10-19,136574.0,90175.0,55568.0,15636.0
2019-10-20,133965.0,97572.0,70305.0,21426.0
2019-10-21,136311.0,112866.0,84242.0,22340.0
2019-10-22,150720.0,115665.0,82120.0,18995.0
2019-10-23,154081.0,122279.0,83260.0,24442.0
2019-10-24,142829.0,121428.0,86776.0,25534.0
2019-10-25,132917.0,120192.0,86334.0,25676.0
2019-10-26,128648.0,103674.0,73469.0,21394.0
2019-10-27,121606.0,87739.0,67484.0,19561.0
2019-10-28,126397.0,97122.0,82200.0,19556.0
2019-10-29,138829.0,105379.0,80660.0,18113.0
2019-10-30,139868.0,106073.0,77263.0,18028.0
2019-10-31,154039.0,108627.0,73336.0,18856.0
2019-11-01,149507.0,101782.0,60559.0,17238.0
2019-11-02,140164.0,111927.0,62998.0,22349.0
2019-11-03,132947.0,135951.0,79062.0,23019.0
2019-11-04,137933.0,148101.0,94206.0,26312.0
2019-11-05,154906.0,150610.0,105218.0,28212.0
2019-11-06,168103.0,155644.0,111361.0,29793.0
2019-11-07,158407.0,154831.0,105317.0,30186.0
2019-11-08,153909.0,158778.0,109287.0,30702.0
2019-11-09,153213.0,147681.0,97413.0,29680.0
2019-11-10,142926.0,133381.0,84850.0,29877.0
2019-11-11,132920.0,130299.0,96720.0,30782.0
2019-11-12,137919.0,132355.0,99557.0,31515.0
2019-11-13,144130.0,130406.0,97991.0,33121.0
2019-11-14,143753.0,127818.0,99138.0,32036.0
2019-11-15,132778.0,139591.0,102549.0,29995.0
2019-11-16,148383.0,125529.0,98011.0,29595.0
2019-11-17,145560.0,111614.0,92731.0,29713.0
2019-11-18,156251.0,126751.0,105569.0,33471.0
2019-11-19,154140.0,128940.0,110694.0,33132.0
2019-11-20,153831.0,132347.0,105015.0,32956.0
2019-11-21,150100.0,131776.0,108491.0,32191.0
2019-11-22,140462.0,125006.0,105270.0,32735.0
2019-11-23,128469.0,118482.0,96885.0,35506.0
2019-11-24,123830.0,118059.0,95473.0,35988.0
2019-11-25,134919.0,132022.0,107905.0,36484.0
2019-11-26,137840.0,129558.0,101982.0,36886.0
2019-11-27,131385.0,130045.0,102131.0,39061.0
2019-11-28,128219.0,138786.0,105615.0,39762.0
2019-11-29,132699.0,152849.0,103524.0,41091.0
2019-11-30,140719.0,151254.0,90524.0,39827.0
2019-12-01,132775.0,148541.0,81284.0,41212.0
2019-12-02,134464.0,153667.0,92146.0,40566.0
2019-12-03,144865.0,155363.0,92809.0,39913.0
2019-12-04,142524.0,156169.0,88710.0,39120.0
2019-12-05,137677.0,156977.0,86638.0,38681.0
2019-12-06,128990.0,144638.0,80744.0,37667.0
2019-12-07,121689.0,127057.0,73901.0,35335.0
2019-12-08,113334.0,110654.0,62487.0,34187.0
2019-12-09,117440.0,122763.0,74791.0,34209.0
2019-12-10,131771.0,142673.0,71407.0,34084.0
2019-12-11,130554.0,142016.0,81078.0,34273.0
2019-12-12,135455.0,149963.0,80961.0,35110.0
2019-12-13,138876.0,158988.0,77676.0,36827.0
2019-12-14,133746.0,155309.0,66526.0,36771.0
2019-12-15,122949.0,157697.0,61769.0,37178.0
2019-12-16,129049.0,166268.0,78186.0,40597.0
2019-12-17,135203.0,168434.0,77768.0,40520.0
2019-12-18,135922.0,165463.0,87642.0,41641.0
2019-12-19,123370.0,162791.0,92904.0,40646.0
2019-12-20,119036.0,168869.0,92544.0,41763.0
2019-12-21,124020.0,166750.0,86711.0,41800.0
2019-12-22,130540.0,168493.0,78877.0,41325.0
2019-12-23,132916.0,169037.0,81532.0,43532.0
2019-12-24,140563.0,170301.0,75167.0,35637.0
2019-12-25,150178.0,168795.0,71259.0,43130.0
2019-12-26,154374.0,169673.0,74320.0,42713.0
2019-12-27,149390.0,169810.0,82665.0,43162.0
2019-12-28,147775.0,162668.0,70887.0,39779.0
2019-12-29,139176.0,155176.0,68935.0,37805.0
2019-12-30,132110.0,157053.0,77638.0,40007.0
2019-12-31,125603.0,153208.0,73461.0,37306.0
2020-01-01,125570.0,136696.0,55838.0,35233.0
2020-01-02,123049.0,143389.0,67781.0,37070.0
2020-01-03,127058.0,135261.0,65866.0,35389.0
