,DE_LU_GEO,ES_GEO
2019-09-16,2002.0,0.0
2019-09-17,2177.0,0.0
2019-09-18,2429.0,0.0
2019-09-19,2359.0,0.0
2019-09-20,2286.0,0.0
2019-09-21,2189.0,0.0
2019-09-22,2259.0,0.0
2019-09-23,2251.0,0.0
2019-09-24,2076.0,0.0
2019-09-25,1903.0,0.0
2019-09-26,1969.0,0.0
2019-09-27,1910.0,0.0
2019-09-28,1983.0,0.0
2019-09-29,1518.0,0.0
2019-09-30,1563.0,0.0
2019-10-01,1442.0,0.0
2019-10-02,1741.0,0.0
2019-10-03,1971.0,0.0
2019-10-04,1738.0,0.0
2019-10-05,1506.0,0.0
2019-10-06,1676.0,0.0
2019-10-07,1647.0,0.0
2019-10-08,1530.0,0.0
2019-10-09,1569.0,0.0
2019-10-10,1484.0,0.0
2019-10-11,1522.0,0.0
2019-10-12,1480.0,0.0
2019-10-13,1486.0,0.0
2019-10-14,1529.0,0.0
2019-10-15,1546.0,0.0
2019-10-16,1795.0,0.0
2019-10-17,1856.0,0.0
2019-10-18,1866.0,0.0
2019-10-19,1934.0,0.0
2019-10-20,1771.0,0.0
2019-10-21,1857.0,0.0
2019-10-22,2214.0,0.0
2019-10-23,2185.0,0.0
2019-10-24,2204.0,0.0
2019-10-25,2263.0,0.0
2019-10-26,2299.0,0.0
2019-10-27,2158.0,0.0
2019-10-28,2287.0,0.0
2019-10-29,2394.0,0.0
2019-10-30,2569.0,0.0
2019-10-31,2624.0,0.0
2019-11-01,2377.0,0.0
2019-11-02,2346.0,0.0
2019-11-03,2338.0,0.0
2019-11-04,2241.0,0.0
2019-11-05,2446.0,0.0
2019-11-06,2487.0,0.0
2019-11-07,2538.0,0.0
2019-11-08,2561.0,0.0
2019-11-09,2568.0,0.0
2019-11-10,2651.0,0.0
2019-11-11,2565.0,0.0
2019-11-12,2492.0,0.0
2019-11-13,2537.0,0.0
2019-11-14,2261.0,0.0
2019-11-15,2418.0,0.0
2019-11-16,2549.0,0.0
2019-11-17,2548.0,0.0
2019-11-18,2177.0,0.0
2019-11-19,2229.0,0.0
2019-11-20,2082.0,0.0
2019-11-21,2252.0,0.0
2019-11-22,2530.0,0.0
2019-11-23,2309.0,0.0
2019-11-24,2387.0,0.0
2019-11-25,2590.0,0.0
2019-11-26,2555.0,0.0
2019-11-27,2487.0,0.0
2019-11-28,2180.0,0.0
2019-11-29,2460.0,0.0
