,OECDplus6_WIP
2019-05-14,134.10547922959668
2019-05-15,134.10547922959668
2019-05-16,134.10547922959668
2019-05-17,134.10547922959668
2019-05-18,134.10547922959668
2019-05-19,134.10547922959668
2019-05-20,134.10547922959668
2019-05-21,134.10547922959668
2019-05-22,134.10547922959668
2019-05-23,134.10547922959668
2019-05-24,134.10547922959668
2019-05-25,134.10547922959668
2019-05-26,134.10547922959668
2019-05-27,134.10547922959668
2019-05-28,134.10547922959668
2019-05-29,134.10547922959668
2019-05-30,134.10547922959668
2019-05-31,134.10547922959668
2019-06-01,133.2859840352544
2019-06-02,133.2859840352544
2019-06-03,133.2859840352544
2019-06-04,133.2859840352544
2019-06-05,133.2859840352544
2019-06-06,133.2859840352544
2019-06-07,133.2859840352544
2019-06-08,133.2859840352544
2019-06-09,133.2859840352544
2019-06-10,133.2859840352544
2019-06-11,133.2859840352544
2019-06-12,133.2859840352544
2019-06-13,133.2859840352544
2019-06-14,133.2859840352544
2019-06-15,133.2859840352544
2019-06-16,133.2859840352544
2019-06-17,133.2859840352544
2019-06-18,133.2859840352544
2019-06-19,133.2859840352544
2019-06-20,133.2859840352544
2019-06-21,133.2859840352544
2019-06-22,133.2859840352544
2019-06-23,133.2859840352544
2019-06-24,133.2859840352544
2019-06-25,133.2859840352544
2019-06-26,133.2859840352544
2019-06-27,133.2859840352544
2019-06-28,133.2859840352544
2019-06-29,133.2859840352544
2019-06-30,133.2859840352544
2019-07-01,133.3779286704152
2019-07-02,133.3779286704152
2019-07-03,133.3779286704152
2019-07-04,133.3779286704152
2019-07-05,133.3779286704152
2019-07-06,133.3779286704152
2019-07-07,133.3779286704152
2019-07-08,133.3779286704152
2019-07-09,133.3779286704152
2019-07-10,133.3779286704152
2019-07-11,133.3779286704152
2019-07-12,133.3779286704152
2019-07-13,133.3779286704152
2019-07-14,133.3779286704152
2019-07-15,133.3779286704152
2019-07-16,133.3779286704152
2019-07-17,133.3779286704152
2019-07-18,133.3779286704152
2019-07-19,133.3779286704152
2019-07-20,133.3779286704152
2019-07-21,133.3779286704152
2019-07-22,133.3779286704152
2019-07-23,133.3779286704152
2019-07-24,133.3779286704152
2019-07-25,133.3779286704152
2019-07-26,133.3779286704152
2019-07-27,133.3779286704152
2019-07-28,133.3779286704152
2019-07-29,133.3779286704152
2019-07-30,133.3779286704152
2019-07-31,133.3779286704152
2019-08-01,133.33836965445238
2019-08-02,133.33836965445238
2019-08-03,133.33836965445238
2019-08-04,133.33836965445238
2019-08-05,133.33836965445238
2019-08-06,133.33836965445238
2019-08-07,133.33836965445238
2019-08-08,133.33836965445238
2019-08-09,133.33836965445238
2019-08-10,133.33836965445238
2019-08-11,133.33836965445238
2019-08-12,133.33836965445238
2019-08-13,133.33836965445238
2019-08-14,133.33836965445238
2019-08-15,133.33836965445238
2019-08-16,133.33836965445238
2019-08-17,133.33836965445238
2019-08-18,133.33836965445238
2019-08-19,133.33836965445238
2019-08-20,133.33836965445238
2019-08-21,133.33836965445238
2019-08-22,133.33836965445238
2019-08-23,133.33836965445238
2019-08-24,133.33836965445238
2019-08-25,133.33836965445238
2019-08-26,133.33836965445238
2019-08-27,133.33836965445238
2019-08-28,133.33836965445238
2019-08-29,133.33836965445238
2019-08-30,133.33836965445238
2019-08-31,133.33836965445238
2019-09-01,132.99223768349594
2019-09-02,132.99223768349594
2019-09-03,132.99223768349594
2019-09-04,132.99223768349594
2019-09-05,132.99223768349594
2019-09-06,132.99223768349594
2019-09-07,132.99223768349594
2019-09-08,132.99223768349594
2019-09-09,132.99223768349594
2019-09-10,132.99223768349594
2019-09-11,132.99223768349594
2019-09-12,132.99223768349594
2019-09-13,132.99223768349594
2019-09-14,132.99223768349594
2019-09-15,132.99223768349594
2019-09-16,132.99223768349594
2019-09-17,132.99223768349594
2019-09-18,132.99223768349594
2019-09-19,132.99223768349594
2019-09-20,132.99223768349594
2019-09-21,132.99223768349594
2019-09-22,132.99223768349594
2019-09-23,132.99223768349594
2019-09-24,132.99223768349594
2019-09-25,132.99223768349594
2019-09-26,132.99223768349594
2019-09-27,132.99223768349594
2019-09-28,132.99223768349594
2019-09-29,132.99223768349594
2019-09-30,132.99223768349594
2019-10-01,132.86477631216601
2019-10-02,132.86477631216601
2019-10-03,132.86477631216601
2019-10-04,132.86477631216601
2019-10-05,132.86477631216601
2019-10-06,132.86477631216601
2019-10-07,132.86477631216601
2019-10-08,132.86477631216601
2019-10-09,132.86477631216601
2019-10-10,132.86477631216601
2019-10-11,132.86477631216601
2019-10-12,132.86477631216601
2019-10-13,132.86477631216601
2019-10-14,132.86477631216601
2019-10-15,132.86477631216601
2019-10-16,132.86477631216601
2019-10-17,132.86477631216601
2019-10-18,132.86477631216601
2019-10-19,132.86477631216601
2019-10-20,132.86477631216601
2019-10-21,132.86477631216601
2019-10-22,132.86477631216601
2019-10-23,132.86477631216601
2019-10-24,132.86477631216601
2019-10-25,132.86477631216601
2019-10-26,132.86477631216601
2019-10-27,132.86477631216601
2019-10-28,132.86477631216601
2019-10-29,132.86477631216601
2019-10-30,132.86477631216601
2019-10-31,132.86477631216601
2019-11-01,133.1996420125318
2019-11-02,133.1996420125318
2019-11-03,133.1996420125318
2019-11-04,133.1996420125318
2019-11-05,133.1996420125318
2019-11-06,133.1996420125318
2019-11-07,133.1996420125318
2019-11-08,133.1996420125318
2019-11-09,133.1996420125318
2019-11-10,133.1996420125318
2019-11-11,133.1996420125318
2019-11-12,133.1996420125318
2019-11-13,133.1996420125318
2019-11-14,133.1996420125318
2019-11-15,133.1996420125318
2019-11-16,133.1996420125318
2019-11-17,133.1996420125318
2019-11-18,133.1996420125318
2019-11-19,133.1996420125318
2019-11-20,133.1996420125318
2019-11-21,133.1996420125318
2019-11-22,133.1996420125318
2019-11-23,133.1996420125318
2019-11-24,133.1996420125318
2019-11-25,133.1996420125318
2019-11-26,133.1996420125318
2019-11-27,133.1996420125318
2019-11-28,133.1996420125318
2019-11-29,133.1996420125318
2019-11-30,133.1996420125318
