,European_News_Index,Germany_News_Index,Italy_News_Index,UK_News_Index,France_News_Index,Spain_News_Index
2020-08-16,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-17,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-18,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-19,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-20,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-21,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-22,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-23,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-24,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-25,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-26,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-27,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-28,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-29,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-30,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-08-31,213.09036254882812,215.7382049560547,160.26182556152344,293.55096435546875,202.9508819580078,152.85995483398438
2020-09-01,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-02,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-03,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-04,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-05,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-06,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-07,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-08,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-09,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-10,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-11,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-12,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-13,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-14,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-15,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-16,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-17,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-18,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-19,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-20,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-21,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-22,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-23,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-24,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-25,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-26,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-27,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-28,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-29,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-09-30,278.5921936035156,295.3185119628906,169.11854553222656,276.29083251953125,432.6912841796875,206.876220703125
2020-10-01,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-02,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-03,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-04,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-05,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-06,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-07,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-08,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-09,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-10,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-11,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-12,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-13,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-14,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-15,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-16,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-17,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-18,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
2020-10-19,311.58251953125,443.7424621582031,173.7636260986328,322.7706604003906,358.2684020996094,198.7289276123047
