,DE_LU_GAS,FR_GAS,IT_NORD_GAS,ES_GAS
2020-04-19,243558.0,13754.0,95858.0,105844.0
2020-04-20,270448.0,12962.0,139630.0,91747.0
2020-04-21,234814.0,12797.0,134163.0,92503.0
2020-04-22,270684.0,13914.0,113406.0,97861.0
2020-04-23,664989.0,12578.0,112497.0,100904.0
2020-04-24,411343.0,12451.0,116918.0,102193.0
2020-04-25,364115.0,12241.0,101312.0,114355.0
2020-04-26,433747.0,12049.0,105613.0,116575.0
2020-04-27,699544.0,22702.0,131936.0,107005.0
2020-04-28,724399.0,23410.0,127918.0,96836.0
2020-04-29,670208.0,12398.0,110648.0,86010.0
2020-04-30,411665.0,12479.0,108415.0,78508.0
2020-05-01,258805.0,12741.0,70218.0,90525.0
2020-05-02,242862.0,12793.0,77873.0,107992.0
2020-05-03,329675.0,16691.0,82932.0,116095.0
2020-05-04,652290.0,29437.0,117308.0,96457.0
2020-05-05,634219.0,40298.0,118378.0,100248.0
2020-05-06,606560.0,45392.0,115099.0,108641.0
2020-05-07,736930.0,45810.0,112485.0,103630.0
2020-05-08,693627.0,22744.0,120968.0,100446.0
2020-05-09,561524.0,16438.0,98266.0,124311.0
2020-05-10,260932.0,11568.0,86595.0,107640.0
2020-05-11,361720.0,16619.0,101544.0,97265.0
2020-05-12,646458.0,64324.0,115250.0,122696.0
2020-05-13,817829.0,87241.0,134582.0,123415.0
2020-05-14,743401.0,44300.0,114278.0,106143.0
2020-05-15,581426.0,40868.0,111576.0,98958.0
2020-05-16,346525.0,16064.0,92225.0,106492.0
2020-05-17,273659.0,18459.0,71879.0,115373.0
2020-05-18,509196.0,32251.0,113848.0,126681.0
2020-05-19,717007.0,74231.0,129258.0,131927.0
2020-05-20,823812.0,99667.0,121192.0,145578.0
2020-05-21,513025.0,49703.0,93192.0,148306.0
2020-05-22,450547.0,20278.0,81541.0,150040.0
2020-05-23,254981.0,14373.0,78897.0,110792.0
2020-05-24,186689.0,17051.0,67534.0,99575.0
