,DE_LU_Eprice_max,FR_Eprice_max,IT_NORD_Eprice_max,ES_Eprice_max
2019-07-16,52.64,52.64,52.64,57.25
2019-07-17,55.03,54.01,54.49,57.31
2019-07-18,54.79,48.96,55.0,58.39
2019-07-19,57.0,50.6,61.2,57.17
2019-07-20,39.2,39.2,44.0,56.94
2019-07-21,46.62,46.62,50.19,57.69
2019-07-22,53.94,53.94,64.61,57.69
2019-07-23,63.41,59.52,62.98,58.98
2019-07-24,74.06,74.06,74.06,58.98
2019-07-25,69.58,69.58,73.0,58.52
2019-07-26,55.89,56.07,70.93,56.99
2019-07-27,39.43,39.43,55.84,50.0
2019-07-28,41.46,41.46,45.0,58.25
2019-07-29,60.74,49.38,60.25,56.28
2019-07-30,56.16,43.66,61.73,55.2
2019-07-31,69.95,44.07,63.61,52.19
2019-08-01,68.07,51.53,64.0,51.53
2019-08-02,50.47,50.47,50.47,51.7
2019-08-03,41.96,41.96,47.5,51.2
2019-08-04,47.0,47.0,47.0,52.1
2019-08-05,56.04,45.91,57.44,52.79
2019-08-06,53.87,49.75,55.0,52.03
2019-08-07,44.98,44.98,57.19,52.81
2019-08-08,43.63,43.63,57.0,50.96
2019-08-09,53.92,36.93,50.0,53.2
2019-08-10,31.83,31.83,50.02,51.0
2019-08-11,48.71,40.0,50.0,50.9
2019-08-12,71.5,42.59,65.0,50.1
2019-08-13,52.96,44.77,50.0,49.01
2019-08-14,67.93,38.22,49.95,48.35
2019-08-15,40.91,36.15,39.0,47.75
2019-08-16,57.91,36.76,44.0,48.1
2019-08-17,39.68,39.44,45.14,47.4
2019-08-18,36.97,36.97,45.0,47.51
2019-08-19,52.19,41.87,60.3,48.37
2019-08-20,54.28,41.02,53.86,47.1
2019-08-21,68.91,44.58,58.18,47.5
2019-08-22,55.36,42.47,55.36,47.04
2019-08-23,59.56,36.97,54.0,46.18
2019-08-24,42.39,42.39,46.23,44.8
2019-08-25,47.13,38.72,54.1,45.75
2019-08-26,69.32,49.06,71.95,50.69
2019-08-27,63.43,59.76,85.42,53.69
2019-08-28,80.01,64.63,87.36,53.84
2019-08-29,61.97,53.59,85.6,53.59
2019-08-30,52.49,52.49,73.42,52.49
2019-08-31,47.21,45.66,65.0,47.07
2019-09-01,39.67,39.67,65.0,47.19
2019-09-02,61.67,49.78,71.93,49.78
2019-09-03,53.36,51.22,71.0,51.22
2019-09-04,45.29,45.29,71.93,46.73
2019-09-05,40.92,40.92,71.43,43.65
2019-09-06,40.07,40.07,66.24,41.43
2019-09-07,48.01,39.45,53.02,40.26
2019-09-08,54.34,45.49,49.19,46.77
2019-09-09,71.36,57.09,57.09,50.07
2019-09-10,51.59,45.93,59.55,43.29
2019-09-11,43.25,43.25,55.67,42.0
2019-09-12,55.55,52.73,56.03,44.1
2019-09-13,52.07,49.37,57.01,44.91
2019-09-14,50.85,47.99,51.0,47.99
2019-09-15,48.9,48.9,56.54,50.0
2019-09-16,60.91,60.91,71.5,55.38
2019-09-17,52.03,52.03,71.13,52.03
2019-09-18,53.17,53.17,71.48,54.74
2019-09-19,71.47,56.24,74.93,56.24
2019-09-20,60.73,60.73,71.47,53.47
2019-09-21,50.0,46.32,59.0,49.69
2019-09-22,40.97,40.97,61.05,55.32
2019-09-23,64.98,55.4,71.48,52.48
2019-09-24,65.19,54.44,74.59,52.48
2019-09-25,62.08,51.74,75.06,51.74
2019-09-26,51.51,51.51,76.77,51.51
2019-09-27,50.31,50.31,92.7,50.89
2019-09-28,43.69,43.69,72.12,50.14
2019-09-29,28.0,30.23,69.22,56.86
2019-09-30,64.37,64.37,77.73,56.74
2019-10-01,54.99,54.99,77.51,52.92
2019-10-02,52.79,52.0,90.0,52.1
2019-10-03,55.06,55.06,71.43,55.06
2019-10-04,53.52,53.52,86.57,56.52
2019-10-05,52.09,52.09,71.19,54.12
2019-10-06,43.35,43.35,62.0,52.12
2019-10-07,61.76,61.76,79.82,57.51
2019-10-08,50.15,50.85,99.61,58.97
2019-10-09,51.44,51.8,73.18,55.23
2019-10-10,47.79,54.45,74.0,59.13
2019-10-11,40.84,43.05,75.24,54.69
2019-10-12,44.65,44.65,62.2,46.05
2019-10-13,30.0,41.24,70.17,56.41
2019-10-14,52.79,52.79,75.06,52.19
2019-10-15,67.95,67.95,74.0,55.29
2019-10-16,51.3,55.05,75.0,55.05
2019-10-17,63.96,63.96,79.0,57.44
2019-10-18,51.46,52.68,75.0,52.68
2019-10-19,47.9,47.9,71.33,50.99
2019-10-20,51.06,51.06,64.1,56.14
2019-10-21,66.51,66.51,73.63,60.46
2019-10-22,65.47,65.47,65.47,57.88
2019-10-23,59.77,59.77,68.59,56.01
2019-10-24,54.11,54.11,66.19,58.97
2019-10-25,51.52,51.89,53.0,60.16
2019-10-26,37.37,37.37,60.0,59.82
2019-10-27,45.9,55.52,58.0,56.85
2019-10-28,63.62,63.62,63.62,61.5
2019-10-29,66.18,66.18,66.18,61.23
2019-10-30,66.7,66.7,66.7,60.0
2019-10-31,56.01,61.18,61.18,60.0
2019-11-01,38.94,38.08,51.46,40.18
2019-11-02,39.44,39.44,56.33,39.44
2019-11-03,42.83,42.83,42.83,39.96
2019-11-04,52.92,52.92,52.92,48.83
2019-11-05,62.89,62.89,62.89,48.01
2019-11-06,87.12,87.12,76.08,46.51
2019-11-07,51.29,54.99,56.86,45.88
2019-11-08,66.47,66.47,74.56,49.39
2019-11-09,51.0,51.0,51.0,45.53
2019-11-10,53.09,53.09,53.09,52.51
2019-11-11,51.0,52.85,57.11,52.85
2019-11-12,59.21,64.43,65.0,57.55
2019-11-13,67.2,80.64,80.64,57.91
2019-11-14,58.5,78.32,78.32,58.91
2019-11-15,51.12,74.45,74.45,60.46
2019-11-16,43.13,57.8,57.8,54.54
2019-11-17,45.44,55.15,55.15,55.15
2019-11-18,55.0,85.0,85.0,63.05
2019-11-19,80.1,99.1,80.1,65.64
2019-11-20,71.05,79.26,79.26,64.92
2019-11-21,63.38,70.32,70.32,65.35
2019-11-22,52.79,54.44,67.0,54.0
2019-11-23,40.43,52.9,52.9,52.9
2019-11-24,51.77,51.8,51.8,51.8
2019-11-25,63.45,63.45,63.45,58.07
2019-11-26,54.79,54.79,70.0,54.79
2019-11-27,50.68,50.68,60.71,50.53
