,DE_LU_WINDOFFSHORE,ES_WINDOFFSHORE
2019-11-04,147520.0,0.0
2019-11-05,221377.0,0.0
2019-11-06,51965.0,0.0
2019-11-07,253494.0,0.0
2019-11-08,176061.0,0.0
2019-11-09,141797.0,0.0
2019-11-10,191275.0,0.0
2019-11-11,439425.0,0.0
2019-11-12,513258.0,0.0
2019-11-13,356860.0,0.0
2019-11-14,221076.0,0.0
2019-11-15,462894.0,0.0
2019-11-16,313313.0,0.0
2019-11-17,227213.0,0.0
2019-11-18,496319.0,0.0
2019-11-19,381155.0,0.0
2019-11-20,33388.0,0.0
2019-11-21,204862.0,0.0
2019-11-22,269965.0,0.0
2019-11-23,574860.0,0.0
2019-11-24,410841.0,0.0
2019-11-25,68551.0,0.0
2019-11-26,232364.0,0.0
2019-11-27,332878.0,0.0
2019-11-28,430198.0,0.0
2019-11-29,531001.0,0.0
2019-11-30,175257.0,0.0
2019-12-01,127442.0,0.0
2019-12-02,385162.0,0.0
2019-12-03,367678.0,0.0
2019-12-04,379198.0,0.0
2019-12-05,515947.0,0.0
2019-12-06,445320.0,0.0
2019-12-07,564570.0,0.0
2019-12-08,488159.0,0.0
2019-12-09,535513.0,0.0
2019-12-10,415891.0,0.0
2019-12-11,348347.0,0.0
2019-12-12,407422.0,0.0
2019-12-13,331070.0,0.0
2019-12-14,531266.0,0.0
2019-12-15,564798.0,0.0
2019-12-16,443168.0,0.0
2019-12-17,247933.0,0.0
2019-12-18,411291.0,0.0
2019-12-19,558302.0,0.0
2019-12-20,568015.0,0.0
2019-12-21,463811.0,0.0
2019-12-22,262362.0,0.0
2019-12-23,489932.0,0.0
2019-12-24,198324.0,0.0
2019-12-25,168897.0,0.0
2019-12-26,74690.0,0.0
2019-12-27,160547.0,0.0
2019-12-28,266500.0,0.0
2019-12-29,487550.0,0.0
2019-12-30,533695.0,0.0
2019-12-31,326373.0,0.0
2020-01-01,290631.0,0.0
2020-01-02,584684.0,0.0
2020-01-03,561938.0,0.0
2020-01-04,439829.0,0.0
2020-01-05,384424.0,0.0
2020-01-06,561775.0,0.0
2020-01-07,458250.0,0.0
2020-01-08,390013.0,0.0
2020-01-09,383045.0,0.0
2020-01-10,336485.0,0.0
2020-01-11,496986.0,0.0
2020-01-12,497341.0,0.0
2020-01-13,432148.0,0.0
2020-01-14,522031.0,0.0
2020-01-15,458393.0,0.0
2020-01-16,487354.0,0.0
2020-01-17,495583.0,0.0
2020-01-18,477232.0,0.0
2020-01-19,420461.0,0.0
2020-01-20,298485.0,0.0
2020-01-21,408971.0,0.0
2020-01-22,192430.0,0.0
2020-01-23,181857.0,0.0
2020-01-24,307126.0,0.0
2020-01-25,312310.0,0.0
2020-01-26,365277.0,0.0
2020-01-27,418310.0,0.0
2020-01-28,414703.0,0.0
2020-01-29,515232.0,0.0
2020-01-30,515576.0,0.0
2020-01-31,527484.0,0.0
2020-02-01,554738.0,0.0
2020-02-02,183959.0,0.0
2020-02-03,457131.0,0.0
2020-02-04,451925.0,0.0
2020-02-05,225169.0,0.0
2020-02-06,186791.0,0.0
2020-02-07,236630.0,0.0
2020-02-08,437136.0,0.0
2020-02-09,353132.0,0.0
2020-02-10,482831.0,0.0
2020-02-11,474074.0,0.0
2020-02-12,489235.0,0.0
2020-02-13,354482.0,0.0
2020-02-14,216618.0,0.0
2020-02-15,531415.0,0.0
2020-02-16,373678.0,0.0
2020-02-17,526825.0,0.0
2020-02-18,535288.0,0.0
2020-02-19,497495.0,0.0
2020-02-20,540428.0,0.0
2020-02-21,565866.0,0.0
2020-02-22,434304.0,0.0
2020-02-23,480532.0,0.0
2020-02-24,432807.0,0.0
2020-02-25,462638.0,0.0
2020-02-26,174598.0,0.0
2020-02-27,268461.0,0.0
2020-02-28,520916.0,0.0
2020-02-29,532886.0,0.0
2020-03-01,449022.0,0.0
2020-03-02,159587.0,0.0
2020-03-03,110487.0,0.0
2020-03-04,123615.0,0.0
2020-03-05,207932.0,0.0
2020-03-06,388184.0,0.0
2020-03-07,264812.0,0.0
2020-03-08,517550.0,0.0
2020-03-09,258001.0,0.0
2020-03-10,559565.0,0.0
2020-03-11,555364.0,0.0
2020-03-12,477087.0,0.0
2020-03-13,403497.0,0.0
2020-03-14,305552.0,0.0
2020-03-15,501401.0,0.0
2020-03-16,199021.0,0.0
2020-03-17,498221.0,0.0
2020-03-18,310974.0,0.0
2020-03-19,36378.0,0.0
2020-03-20,253323.0,0.0
2020-03-21,539313.0,0.0
2020-03-22,466280.0,0.0
2020-03-23,491547.0,0.0
2020-03-24,407515.0,0.0
2020-03-25,218060.0,0.0
2020-03-26,166085.0,0.0
2020-03-27,263527.0,0.0
2020-03-28,435213.0,0.0
2020-03-29,458836.0,0.0
2020-03-30,346835.0,0.0
2020-03-31,123125.0,0.0
2020-04-01,386478.0,0.0
2020-04-02,563017.0,0.0
2020-04-03,393982.0,0.0
2020-04-04,232028.0,0.0
2020-04-05,445952.0,0.0
2020-04-06,361212.0,0.0
2020-04-07,95223.0,0.0
2020-04-08,78613.0,0.0
2020-04-09,124330.0,0.0
2020-04-10,23259.0,0.0
2020-04-11,107095.0,0.0
2020-04-12,211337.0,0.0
2020-04-13,466065.0,0.0
2020-04-14,352604.0,0.0
2020-04-15,351033.0,0.0
2020-04-16,109891.0,0.0
2020-04-17,68589.0,0.0
2020-04-18,259905.0,0.0
2020-04-19,311758.0,0.0
2020-04-20,360940.0,0.0
2020-04-21,415734.0,0.0
2020-04-22,435007.0,0.0
2020-04-23,67136.0,0.0
2020-04-24,327619.0,0.0
2020-04-25,117337.0,0.0
2020-04-26,39926.0,0.0
2020-04-27,94582.0,0.0
2020-04-28,40711.0,0.0
2020-04-29,118017.0,0.0
2020-04-30,361917.0,0.0
2020-05-01,181212.0,0.0
2020-05-02,116974.0,0.0
