,DE_LU_BIO,FR_BIO,IT_NORD_BIO,ES_BIO
2019-04-19,466704.0,7995.0,4066.0,6094.0
2019-04-20,466582.0,8007.0,3734.0,5758.0
2019-04-21,464938.0,7993.0,3803.0,5392.0
2019-04-22,461757.0,8012.0,3862.0,4914.0
2019-04-23,465036.0,8038.0,3810.0,4625.0
2019-04-24,462102.0,8040.0,3809.0,4267.0
2019-04-25,461222.0,8066.0,3817.0,4098.0
2019-04-26,466104.0,8057.0,4302.0,4496.0
2019-04-27,472973.0,8011.0,4482.0,3741.0
2019-04-28,473175.0,8043.0,4121.0,3636.0
2019-04-29,465879.0,8063.0,3655.0,4808.0
2019-04-30,470285.0,7722.0,3625.0,5838.0
2019-05-01,472750.0,7725.0,3685.0,6015.0
2019-05-02,469082.0,7651.0,3648.0,5922.0
2019-05-03,462921.0,7711.0,3850.0,6046.0
2019-05-04,462368.0,7696.0,3777.0,6122.0
2019-05-05,468477.0,7587.0,3903.0,6040.0
2019-05-06,463292.0,7602.0,3815.0,6184.0
2019-05-07,466182.0,7668.0,4018.0,6431.0
2019-05-08,464883.0,7674.0,3940.0,6276.0
2019-05-09,450283.0,7625.0,4071.0,6632.0
2019-05-10,466627.0,7590.0,3960.0,6786.0
2019-05-11,467259.0,7590.0,3622.0,6954.0
2019-05-12,466987.0,7578.0,3575.0,6823.0
2019-05-13,464209.0,7405.0,3009.0,7343.0
2019-05-14,463804.0,7079.0,3511.0,7738.0
2019-05-15,461957.0,6950.0,3759.0,8013.0
2019-05-16,461231.0,7250.0,3743.0,8237.0
2019-05-17,462743.0,7274.0,3863.0,8351.0
2019-05-18,462346.0,7238.0,3742.0,8226.0
2019-05-19,459610.0,7267.0,3583.0,8312.0
2019-05-20,460325.0,7263.0,3554.0,8122.0
2019-05-21,460958.0,7256.0,3243.0,8046.0
2019-05-22,462022.0,7272.0,3631.0,8277.0
2019-05-23,459324.0,7429.0,3730.0,7280.0
2019-05-24,458247.0,7487.0,3662.0,7446.0
2019-05-25,462745.0,7541.0,3928.0,8007.0
2019-05-26,460303.0,7582.0,4088.0,8009.0
2019-05-27,456743.0,7586.0,3689.0,8159.0
2019-05-28,446426.0,7544.0,3746.0,7815.0
2019-05-29,427761.0,7570.0,3930.0,7892.0
2019-05-30,456061.0,7611.0,3764.0,7503.0
2019-05-31,455767.0,7514.0,3570.0,7626.0
2019-06-01,453600.0,7433.0,4054.0,7651.0
2019-06-02,445282.0,7179.0,4291.0,7532.0
2019-06-03,441638.0,7289.0,4124.0,7318.0
2019-06-04,446646.0,7455.0,4187.0,7536.0
2019-06-05,438861.0,7467.0,3932.0,7611.0
2019-06-06,447336.0,7427.0,4000.0,7832.0
2019-06-07,451473.0,8209.0,3966.0,7913.0
2019-06-08,451260.0,9548.0,4312.0,7939.0
2019-06-09,452930.0,9718.0,4260.0,7685.0
2019-06-10,448398.0,9494.0,4055.0,7132.0
2019-06-11,448704.0,7043.0,4037.0,6318.0
2019-06-12,447900.0,7256.0,4015.0,7075.0
2019-06-13,450875.0,9673.0,4295.0,7408.0
2019-06-14,450573.0,9341.0,4219.0,7825.0
2019-06-15,447816.0,9717.0,3828.0,7664.0
2019-06-16,452644.0,9481.0,3690.0,7560.0
2019-06-17,448548.0,8975.0,3901.0,7236.0
2019-06-18,445183.0,9493.0,4258.0,7407.0
2019-06-19,439563.0,8911.0,4230.0,7427.0
