,DE_LU_HYDROSTORAGE,FR_HYDROSTORAGE,IT_NORD_HYDROSTORAGE
2019-08-13,76058.0,8782.0,8165.0
2019-08-14,98934.0,12927.0,7531.0
2019-08-15,43009.0,4854.0,2554.0
2019-08-16,109959.0,13572.0,4828.0
2019-08-17,106208.0,9506.0,2205.0
2019-08-18,49287.0,4553.0,1735.0
2019-08-19,113513.0,9977.0,6252.0
2019-08-20,133971.0,16937.0,4659.0
2019-08-21,137581.0,11990.0,5309.0
2019-08-22,105431.0,8827.0,4714.0
2019-08-23,121394.0,11111.0,5028.0
2019-08-24,78620.0,6257.0,4259.0
2019-08-25,79082.0,7249.0,1842.0
2019-08-26,169325.0,24525.0,8255.0
2019-08-27,165338.0,16469.0,17086.0
2019-08-28,120335.0,25449.0,20649.0
2019-08-29,111836.0,18278.0,8025.0
2019-08-30,111022.0,16276.0,6772.0
2019-08-31,60747.0,6632.0,7002.0
2019-09-01,29477.0,2344.0,5745.0
2019-09-02,103300.0,15306.0,11393.0
2019-09-03,94337.0,16277.0,10234.0
2019-09-04,116181.0,10047.0,10829.0
2019-09-05,71841.0,8774.0,11209.0
2019-09-06,116489.0,14438.0,11818.0
2019-09-07,57313.0,5048.0,7142.0
2019-09-08,79433.0,4562.0,1825.0
2019-09-09,111727.0,19223.0,12541.0
2019-09-10,85558.0,13082.0,12092.0
2019-09-11,74121.0,9639.0,13459.0
2019-09-12,108631.0,17490.0,14167.0
2019-09-13,98334.0,12996.0,9018.0
2019-09-14,77234.0,5741.0,2284.0
2019-09-15,41923.0,3573.0,1842.0
2019-09-16,124561.0,22220.0,8358.0
2019-09-17,61220.0,10966.0,12708.0
2019-09-18,80849.0,11341.0,11733.0
2019-09-19,86558.0,17069.0,13247.0
2019-09-20,99657.0,13306.0,4780.0
2019-09-21,68392.0,6478.0,1575.0
2019-09-22,56118.0,7655.0,897.0
2019-09-23,134984.0,7885.0,12817.0
2019-09-24,94522.0,11161.0,13158.0
2019-09-25,113798.0,14180.0,14611.0
2019-09-26,90222.0,8167.0,8672.0
2019-09-27,118261.0,10983.0,13720.0
2019-09-28,104734.0,5280.0,2674.0
2019-09-29,98898.0,1218.0,761.0
2019-09-30,99704.0,14458.0,9336.0
2019-10-01,132720.0,9676.0,13425.0
2019-10-02,104628.0,7915.0,11860.0
2019-10-03,116128.0,7346.0,5326.0
2019-10-04,93712.0,13281.0,12072.0
2019-10-05,70698.0,8972.0,655.0
2019-10-06,51199.0,802.0,1057.0
2019-10-07,146426.0,14332.0,7074.0
2019-10-08,120870.0,11799.0,12147.0
2019-10-09,95111.0,7213.0,5680.0
2019-10-10,102187.0,9593.0,5013.0
2019-10-11,84060.0,6593.0,9162.0
2019-10-12,127841.0,9867.0,940.0
2019-10-13,55554.0,4194.0,1347.0
2019-10-14,137983.0,11599.0,10940.0
2019-10-15,141323.0,15148.0,13491.0
2019-10-16,73366.0,9755.0,6877.0
2019-10-17,138793.0,14073.0,10732.0
2019-10-18,103075.0,10059.0,8016.0
2019-10-19,85763.0,4796.0,957.0
2019-10-20,118609.0,6476.0,1613.0
2019-10-21,146536.0,21059.0,3899.0
2019-10-22,115624.0,18614.0,5227.0
2019-10-23,115433.0,18365.0,4133.0
2019-10-24,118953.0,11070.0,4578.0
2019-10-25,147498.0,9577.0,4268.0
2019-10-26,131039.0,1662.0,1090.0
2019-10-27,132724.0,6793.0,767.0
2019-10-28,93789.0,18678.0,8884.0
2019-10-29,125718.0,29624.0,8515.0
