,DE_LU_SUN,FR_SUN,IT_NORD_SUN,ES_SUN
2019-07-16,736109.0,56779.0,34246.0,61805.0
2019-07-17,828833.0,53094.0,32652.0,56132.0
2019-07-18,861104.0,46583.0,24867.0,63971.0
2019-07-19,630894.0,53805.0,31180.0,64128.0
2019-07-20,816091.0,42014.0,32204.0,56909.0
2019-07-21,763130.0,49491.0,32751.0,54991.0
2019-07-22,791042.0,54300.0,28579.0,56246.0
2019-07-23,988518.0,54506.0,31021.0,54668.0
2019-07-24,969180.0,54030.0,30778.0,60966.0
2019-07-25,932148.0,51547.0,30528.0,61184.0
2019-07-26,905445.0,34944.0,30414.0,54942.0
2019-07-27,710797.0,24713.0,20219.0,39446.0
2019-07-28,546557.0,47419.0,16370.0,62713.0
2019-07-29,549164.0,56797.0,30621.0,68392.0
2019-07-30,696781.0,42411.0,31918.0,68257.0
2019-07-31,542388.0,51063.0,29019.0,58540.0
2019-08-01,770401.0,43393.0,30143.0,61207.0
2019-08-02,653244.0,54331.0,24969.0,66373.0
2019-08-03,638796.0,54895.0,35151.0,65742.0
2019-08-04,828246.0,52794.0,34059.0,65077.0
2019-08-05,573430.0,46371.0,33050.0,65728.0
2019-08-06,662767.0,39591.0,30296.0,62092.0
2019-08-07,428881.0,39229.0,24049.0,31101.0
2019-08-08,789726.0,50606.0,29569.0,64235.0
2019-08-09,680405.0,41745.0,30749.0,58273.0
2019-08-10,520710.0,41367.0,32354.0,65183.0
2019-08-11,816772.0,34294.0,32548.0,58030.0
2019-08-12,528309.0,39280.0,18525.0,62733.0
2019-08-13,644893.0,45299.0,29929.0,61829.0
2019-08-14,801608.0,50398.0,30606.0,67742.0
2019-08-15,446147.0,36977.0,31567.0,66610.0
2019-08-16,734261.0,49262.0,34273.0,66893.0
2019-08-17,393693.0,42567.0,30957.0,67066.0
2019-08-18,620344.0,37552.0,31335.0,64661.0
2019-08-19,640110.0,35247.0,30958.0,61413.0
2019-08-20,437932.0,32339.0,28313.0,58430.0
2019-08-21,794766.0,49351.0,27471.0,47278.0
2019-08-22,861321.0,50169.0,21482.0,63582.0
2019-08-23,843513.0,52394.0,17885.0,65600.0
2019-08-24,833854.0,51002.0,28684.0,65309.0
2019-08-25,790889.0,49532.0,31143.0,57678.0
2019-08-26,772858.0,45728.0,29137.0,30329.0
2019-08-27,758385.0,32495.0,28240.0,51815.0
2019-08-28,681869.0,36785.0,17589.0,62612.0
2019-08-29,587910.0,46994.0,29531.0,51919.0
2019-08-30,758687.0,47996.0,28905.0,57475.0
2019-08-31,817644.0,44426.0,27200.0,56505.0
2019-09-01,543494.0,28587.0,27865.0,50033.0
2019-09-02,630814.0,48856.0,22805.0,52504.0
2019-09-03,661268.0,50119.0,28750.0,55344.0
