,DE_LU_NUC,FR_NUC,ES_NUC
2019-12-22,856921.0,974836.0,105335.0
2019-12-23,819761.0,1038950.0,128883.0
2019-12-24,839404.0,1048507.0,120826.0
2019-12-25,861462.0,1026134.0,156380.0
2019-12-26,871270.0,1123577.0,157287.0
2019-12-27,872531.0,1154758.0,164374.0
2019-12-28,872893.0,1172258.0,169746.0
2019-12-29,865962.0,1174391.0,170388.0
2019-12-30,823395.0,1183314.0,170343.0
2019-12-31,799034.0,1194121.0,170281.0
2020-01-01,772444.0,1186895.0,170284.0
2020-01-02,767626.0,1202109.0,170313.0
2020-01-03,735456.0,1171099.0,170368.0
2020-01-04,723896.0,1156015.0,170384.0
2020-01-05,765381.0,1197603.0,170388.0
2020-01-06,761645.0,1244528.0,170422.0
2020-01-07,754974.0,1246314.0,170386.0
2020-01-08,753145.0,1235730.0,170349.0
2020-01-09,761723.0,1104379.0,170360.0
2020-01-10,744150.0,1191846.0,170439.0
2020-01-11,744665.0,1263096.0,170406.0
2020-01-12,718787.0,1259893.0,170399.0
2020-01-13,769492.0,1285450.0,170450.0
2020-01-14,737385.0,1182094.0,170576.0
2020-01-15,750485.0,1175226.0,170515.0
2020-01-16,748402.0,1190592.0,170517.0
2020-01-17,746113.0,1201265.0,170538.0
2020-01-18,741440.0,1161588.0,170516.0
2020-01-19,772867.0,1188653.0,170483.0
2020-01-20,766274.0,1196387.0,167693.0
2020-01-21,772259.0,1235755.0,170567.0
2020-01-22,770455.0,1250914.0,170617.0
2020-01-23,776610.0,1231500.0,170537.0
2020-01-24,776231.0,1219246.0,170453.0
2020-01-25,776080.0,1185217.0,170525.0
2020-01-26,773933.0,1157508.0,170622.0
2020-01-27,760238.0,1166259.0,170619.0
2020-01-28,714730.0,1195270.0,170518.0
2020-01-29,721475.0,1142050.0,170509.0
2020-01-30,696453.0,1193096.0,170528.0
2020-01-31,664463.0,1161638.0,170466.0
2020-02-01,657660.0,1086170.0,165387.0
2020-02-02,716372.0,1092627.0,166018.0
2020-02-03,737957.0,1195741.0,170212.0
2020-02-04,735582.0,1232395.0,170125.0
2020-02-05,766160.0,1266595.0,170361.0
2020-02-06,772912.0,1222619.0,170434.0
2020-02-07,769710.0,1248338.0,170451.0
2020-02-08,761045.0,1236726.0,170429.0
2020-02-09,559802.0,1060210.0,170452.0
2020-02-10,680493.0,1130542.0,168421.0
2020-02-11,693393.0,1159920.0,166961.0
2020-02-12,709725.0,1195761.0,170115.0
2020-02-13,758893.0,1167706.0,170034.0
2020-02-14,770160.0,1198265.0,170203.0
2020-02-15,683993.0,1130316.0,170211.0
2020-02-16,527793.0,949154.0,170236.0
2020-02-17,692075.0,1157856.0,170225.0
2020-02-18,730493.0,1197814.0,170232.0
2020-02-19,739685.0,1177946.0,170220.0
2020-02-20,749827.0,1089855.0,170184.0
2020-02-21,741433.0,1153932.0,170259.0
2020-02-22,589244.0,1051696.0,170238.0
2020-02-23,678404.0,1029776.0,170241.0
2020-02-24,739642.0,1129085.0,170158.0
2020-02-25,704534.0,1109907.0,170151.0
2020-02-26,772049.0,1130391.0,170246.0
2020-02-27,774574.0,1091382.0,170271.0
2020-02-28,735340.0,1125438.0,169457.0
2020-02-29,710965.0,1039504.0,123199.0
2020-03-01,699884.0,998313.0,122220.0
2020-03-02,767984.0,1134404.0,144458.0
2020-03-03,773320.0,1131941.0,170032.0
2020-03-04,772883.0,1129495.0,170319.0
2020-03-05,770975.0,1089558.0,170377.0
2020-03-06,757079.0,1104562.0,170442.0
2020-03-07,768289.0,1075266.0,170476.0
2020-03-08,733620.0,1008000.0,170449.0
2020-03-09,764871.0,1078971.0,170361.0
2020-03-10,701462.0,1059274.0,170289.0
2020-03-11,716292.0,1034916.0,170212.0
2020-03-12,680053.0,985743.0,170116.0
2020-03-13,736295.0,1003902.0,170019.0
2020-03-14,772323.0,1000217.0,170015.0
2020-03-15,693334.0,876420.0,169979.0
2020-03-16,769106.0,1020633.0,170100.0
2020-03-17,763418.0,1022559.0,170117.0
2020-03-18,762123.0,985948.0,170207.0
2020-03-19,767499.0,981122.0,170212.0
2020-03-20,680416.0,964357.0,170304.0
2020-03-21,611383.0,815167.0,170312.0
2020-03-22,535083.0,769197.0,170296.0
2020-03-23,627624.0,928248.0,170146.0
2020-03-24,634553.0,974432.0,169845.0
2020-03-25,633078.0,988371.0,169107.0
2020-03-26,628587.0,965407.0,168227.0
2020-03-27,616992.0,949993.0,168122.0
2020-03-28,604216.0,863768.0,167917.0
2020-03-29,600850.0,709690.0,158779.0
2020-03-30,640007.0,944298.0,160977.0
2020-03-31,643881.0,951760.0,167795.0
2020-04-01,635727.0,994470.0,167504.0
